Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GetMilestoneTasksTestSuite,,,2019-03-27 10:37:50,2019-03-27 10:37:56,6.114s,PASSED
,,,,,,
Test Cases/APIDrivenTests/Compass/TestGetMilestoneTasks,,,2019-03-27 10:37:51,2019-03-27 10:37:56,5.286s,PASSED
"response = sendRequestAndVerify(findTestObject(""Compass-EndPoint/GetOrderMilestones"", [""IS05Compass"":""flcncapp-is05asf.tsl.telus.com""]))",,Send the request to Netcracker Compass to get Order Milestone,2019-03-27 10:37:51,2019-03-27 10:37:56,4.649s,PASSED
"verifyElementPropertyValue(response, ""data[0].milestones[0].status"", ""Cancelled"")",,"Check the order status is ""Cancel""",2019-03-27 10:37:56,2019-03-27 10:37:56,0.056s,PASSED
"verifyElementPropertyValue(response, ""data[0].milestones[0].tasks[0].name"", ""Facility Check"")",,"Check the task name is ""Facility Check""",2019-03-27 10:37:56,2019-03-27 10:37:56,0.030s,PASSED
