Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoAPITests,,,2019-03-18 21:13:59,2019-03-18 21:14:06,7.301s,PASSED
,,,,,,
Test Cases/APIDrivenTests/Mock/GetListOfUsersTestCase,,Call Mock REST API to get list of users,2019-03-18 21:14:00,2019-03-18 21:14:06,6.612s,PASSED
"response = sendRequestAndVerify(findTestObject(""Mock-EndPoint/DEMO-REST-GET-Users""))",,Get User List from Mock REST API,2019-03-18 21:14:01,2019-03-18 21:14:06,5.291s,PASSED
