Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoAPI-GetUsers,,,2019-03-27 11:13:48,2019-03-27 11:13:56,8.339s,FAILED
,,,,,,
Test Cases/APIDrivenTests/Mock/GetListOfUsersTestCase,,Call Mock REST API to get list of users,2019-03-27 11:13:48,2019-03-27 11:13:56,7.804s,FAILED
"response = sendRequestAndVerify(findTestObject(""Mock-EndPoint/DEMO-REST-GET-Users""))",,Get User List from Mock REST API,2019-03-27 11:13:49,2019-03-27 11:13:56,6.901s,FAILED
