Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoAPITests,,,2019-03-18 21:10:58,2019-03-18 21:11:04,5.433s,PASSED
,,,,,,
Test Cases/APIDrivenTests/Mock/GetListOfUsersTestCase,,Call Mock REST API to get list of users,2019-03-18 21:10:59,2019-03-18 21:11:04,4.949s,PASSED
"response = sendRequestAndVerify(findTestObject(""Mock-EndPoint/DEMO-REST-GET-Users""))",,Get User List from Mock REST API,2019-03-18 21:10:59,2019-03-18 21:11:04,4.419s,PASSED
